# CRC MEDLANKY DEFAULT (Data loaded from a file)
# 727 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (22,9 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-4.707e-4,-0.094,-9.414,0.094,9.42,-1.644e-5,0,1.644e-5,180.023,0.003,0.329,49.217,16.501,9.809,89.095,0,0,0,1065,375,0.028,8.587e-4,NaN,446,NaN,0.015,2.285e5,0.408,2.693e-7,0.598,5.942e-6,0.341,0.137,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.984e-6,63,30,88.006,0,4.945,13.05,978.1,339.207,0.01,0.001
0.02,-4.418e-4,-0.088,-8.836,0.088,8.841,-1.543e-5,0,1.543e-5,180.023,0.003,0.309,49.217,16.501,9.809,89.038,0,0,0,1065,375,0.028,8.587e-4,NaN,446,NaN,0.015,2.283e5,1.025,3.319e-7,0.598,7.335e-6,0.341,0.137,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.432e-6,63,30,88.006,0,4.941,13.05,978.1,339.207,0.01,0.001
0.03,-4.327e-4,-0.087,-8.654,0.087,8.66,-1.511e-5,0,1.511e-5,180.023,0.003,0.302,49.217,16.501,9.809,88.98,0,0,0,1065,375,0.028,8.587e-4,NaN,446,NaN,0.015,2.282e5,1.218,3.525e-7,0.598,7.801e-6,0.341,0.137,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.259e-6,63,30,88.006,0,4.937,13.05,978.1,339.207,0.01,0.001
0.04,-4.259e-4,-0.085,-8.519,0.085,8.524,-1.487e-5,0,1.487e-5,180.023,0.003,0.297,49.217,16.501,9.809,88.98,0,0,0,1065,375,0.028,8.587e-4,NaN,446,NaN,0.015,2.28e5,1.363,3.681e-7,0.598,8.159e-6,0.341,0.137,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.13e-6,63,30,88.006,0,4.933,13.05,978.1,339.207,0.01,0.002
0.05,-4.212e-4,-0.084,-8.425,0.084,8.43,-1.471e-5,0,1.471e-5,180.023,0.003,0.294,49.217,16.501,9.809,88.98,0,0,0,1065,375,0.028,8.587e-4,NaN,446,NaN,0.015,2.278e5,1.463,3.788e-7,0.599,8.408e-6,0.341,0.137,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.04e-6,63,30,88.006,0,4.929,13.05,978.1,339.207,0.01,0.002
0.06,-4.157e-4,-0.083,-8.314,0.083,8.32,-1.452e-5,0,1.452e-5,180.023,0.003,0.29,49.217,16.501,9.809,88.98,0,0,0,1065,375,0.028,8.587e-4,NaN,446,NaN,0.015,2.288e5,1.581,4.008e-7,0.598,8.825e-6,0.341,0.137,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.935e-6,63,30,88.006,0,4.95,13.05,978.1,339.207,0.01,0.002
0.07,-4.068e-4,-0.081,-8.137,0.081,8.142,-1.421e-5,0,1.421e-5,180.023,0.003,0.284,49.217,16.501,9.809,88.923,0,0,0,1065,375,0.028,8.587e-4,NaN,446,NaN,0.015,2.297e5,1.77,4.331e-7,0.598,9.457e-6,0.34,0.137,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.765e-6,63,30,88.006,0,4.97,13.05,978.1,339.207,0.01,0.002
0.08,-3.95e-4,-0.079,-7.899,0.079,7.904,-1.379e-5,0,1.379e-5,180.023,0.003,0.276,49.217,16.501,9.809,88.923,0,0,0,1065,375,0.028,8.587e-4,NaN,446,NaN,0.015,2.307e5,2.023,4.758e-7,0.598,1.03e-5,0.34,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.539e-6,63,30,88.006,0,4.991,13.05,978.1,339.207,0.01,0.002
0.09,-3.819e-4,-0.076,-7.637,0.076,7.642,-1.333e-5,0,1.333e-5,180.023,0.003,0.267,49.217,16.501,9.809,88.866,0,0,0,1065,375,0.028,8.586e-4,NaN,446,NaN,0.015,2.316e5,2.302,5.251e-7,0.597,1.128e-5,0.34,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.288e-6,63,30,88.006,0,5.011,13.05,978.1,339.207,0.01,0.003
0.1,-3.678e-4,-0.074,-7.355,0.074,7.36,-1.284e-5,0,1.284e-5,180.023,0.003,0.257,49.217,16.501,9.809,88.866,0,0,0,1065,375,0.028,8.586e-4,NaN,446,NaN,0.015,2.326e5,2.603,5.808e-7,0.597,1.237e-5,0.339,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.019e-6,63,30,88.006,0,5.031,13.05,978.1,339.207,0.01,0.003
0.11,-3.479e-4,-0.07,-6.958,0.07,6.962,-1.215e-5,0,1.215e-5,180.023,0.002,0.243,49.217,16.501,9.809,88.808,0,0,0,1065,375,0.028,8.586e-4,NaN,446,NaN,0.015,2.332e5,3.026,6.579e-7,0.597,1.394e-5,0.339,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.64e-6,63,30,88.006,0,5.045,13.05,978.1,339.207,0.01,0.003
0.12,-3.194e-4,-0.064,-6.388,0.064,6.392,-1.115e-5,0,1.115e-5,180.023,0.002,0.223,49.217,16.501,9.809,88.751,0,0,0,1065,375,0.028,8.586e-4,NaN,446,NaN,0.015,2.338e5,3.633,7.763e-7,0.597,1.636e-5,0.339,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.096e-6,63,30,88.006,0,5.059,13.05,978.1,339.207,0.01,0.003
0.13,-2.8e-4,-0.056,-5.6,0.056,5.603,-9.778e-6,0,9.778e-6,180.023,0.002,0.196,49.217,16.501,9.809,88.637,0,0,0,1065,375,0.028,8.586e-4,NaN,446,NaN,0.015,2.345e5,4.473,9.587e-7,0.596,2.009e-5,0.339,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.344e-6,63,30,88.006,0,5.073,13.05,978.1,339.207,0.01,0.003
0.14,-2.242e-4,-0.045,-4.483,0.045,4.486,-7.829e-6,0,7.829e-6,180.023,0.002,0.157,49.217,16.501,9.809,88.522,0,0,0,1065,375,0.028,8.586e-4,NaN,446,NaN,0.015,2.351e5,5.663,1.258e-6,0.596,2.621e-5,0.339,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.279e-6,63,30,88.006,0,5.086,13.05,978.1,339.207,0.01,0.003
0.15,-1.472e-4,-0.029,-2.944,0.029,2.946,-5.141e-6,0,5.141e-6,180.023,0.001,0.103,49.217,16.501,9.809,88.35,0,0,0,1065,374,0.028,8.586e-4,NaN,446,NaN,0.015,2.358e5,7.302,1.757e-6,0.596,3.641e-5,0.338,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.81e-6,63,30,88.006,0,5.1,13.05,978.1,339.207,0.01,0.004
0.16,-5.276e-5,-0.011,-1.054,0.011,1.055,-1.842e-6,0,1.842e-6,180.023,3.684e-4,0.037,49.217,16.501,9.809,88.121,0,0,0,1065,374,0.028,8.585e-4,NaN,446,NaN,0.015,2.345e5,9.315,2.483e-6,0.596,5.202e-5,0.339,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.007e-6,63,30,88.006,0,5.073,13.05,978.1,339.207,0.01,0.004
0.17,5.618e-5,0.011,1.125,0.011,1.126,1.962e-6,0,1.962e-6,0,3.925e-4,0.039,49.217,16.501,9.809,87.892,0,0,0,1065,374,0.028,8.585e-4,NaN,446,NaN,0.015,2.333e5,11.635,3.55e-6,0.597,7.515e-5,0.339,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.073e-6,63,30,88.006,0,5.045,13.05,978.1,339.207,0.01,0.004
0.18,3.481e-4,0.047,3.592,0.047,3.594,1.216e-5,0,1.216e-5,0,0.002,0.125,49.217,16.501,9.809,87.433,0,0,0,1064,374,0.028,8.584e-4,NaN,446,NaN,0.015,2.321e5,14.26,5.942e-6,0.597,1.271e-4,0.34,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.499e-6,63,30,88.006,0,5.017,13.05,978.1,339.207,0.01,0.004
0.19,0.001,0.111,6.38,0.111,6.384,3.975e-5,0,3.975e-5,0,0.004,0.223,49.217,16.501,9.809,86.746,0,0,0,1064,374,0.028,8.584e-4,NaN,446,NaN,0.015,2.309e5,17.226,1.252e-5,0.598,2.706e-4,0.34,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.059e-5,63,30,88.006,0,4.989,13.05,978.1,339.207,0.01,0.004
0.2,0.003,0.196,8.519,0.196,8.524,9.336e-5,0,9.336e-5,0,0.007,0.297,49.217,16.501,9.809,85.714,0,0,0,1064,373,0.028,8.583e-4,NaN,446,NaN,0.015,2.299e5,19.498,2.711e-5,0.598,5.909e-4,0.34,0.137,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.871e-5,63,30,88.006,0,4.962,13.05,978.1,339.207,0.01,0.005
0.21,0.005,0.291,9.53,0.292,9.536,1.785e-4,0,1.785e-4,0,0.01,0.333,49.217,16.501,9.809,84.683,0,0,0,1064,373,0.028,8.582e-4,NaN,446,NaN,0.015,2.31e5,20.569,5.334e-5,0.598,0.001,0.34,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.781e-5,63,30,88.006,0,4.976,13.05,978.1,339.207,0.01,0.005
0.22,0.009,0.388,9.691,0.388,9.697,2.971e-4,0,2.971e-4,0,0.014,0.338,49.217,16.501,9.809,83.537,0,0,0,1063,373,0.028,8.582e-4,NaN,446,NaN,0.015,2.321e5,20.734,9.292e-5,0.597,0.002,0.34,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.705e-5,63,30,88.006,0,4.991,13.05,978.1,339.207,0.01,0.005
0.23,0.013,0.486,9.747,0.486,9.753,4.497e-4,0,4.497e-4,0,0.017,0.34,49.217,16.501,9.809,82.506,0,0,0,1063,372,0.028,8.581e-4,NaN,446,NaN,0.015,2.334e5,20.788,1.481e-4,0.597,0.003,0.339,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.635e-5,63,30,88.006,0,5.006,13.05,978.1,339.207,0.01,0.005
0.24,0.018,0.586,10.08,0.587,10.086,6.369e-4,0,6.369e-4,0,0.02,0.352,49.217,16.501,9.809,81.36,0,0,0,1063,372,0.028,8.58e-4,NaN,446,NaN,0.015,2.347e5,21.136,2.236e-4,0.596,0.005,0.339,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.597e-5,63,30,88.006,0,5.021,13.05,978.1,339.207,0.01,0.005
# Event LIFTOFF occurred at t=0.25 seconds
0.25,0.025,0.688,10.168,0.689,10.175,8.595e-4,0,8.595e-4,0,0.024,0.355,49.217,16.501,9.809,80.271,0,0,0,1062,372,0.028,8.58e-4,NaN,445,NaN,0.015,2.361e5,21.224,3.209e-4,0.596,0.007,0.338,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.567e-5,63,30,88.006,0,5.036,13.05,978.1,339.207,0.01,0.005
0.26,0.032,0.791,10.278,0.791,10.284,0.001,0,0.001,0,0.028,0.359,49.217,16.501,9.809,79.125,0,0,0,1062,372,0.028,8.579e-4,NaN,445,NaN,0.015,2.366e5,21.334,4.439e-4,0.596,0.009,0.338,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.547e-5,63,30,88.006,0,5.027,13.05,978.1,339.207,0.01,0.005
0.27,0.04,0.896,10.529,0.897,10.535,0.001,0,0.001,0,0.031,0.368,49.217,16.501,9.809,77.922,0,0,0,1062,371,0.028,8.578e-4,NaN,445,NaN,0.015,2.371e5,21.595,5.976e-4,0.596,0.012,0.338,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.552e-5,63,30,88.006,0,5.018,13.05,978.1,339.207,0.01,0.006
0.28,0.05,1.004,10.831,1.005,10.838,0.002,0,0.002,0,0.035,0.378,49.217,16.501,9.809,76.719,0,0,0,1061,371,0.028,8.577e-4,NaN,445,NaN,0.015,2.378e5,21.91,7.87e-4,0.595,0.016,0.338,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.585e-5,63,30,88.006,0,5.009,13.05,978.1,339.207,0.01,0.006
0.29,0.061,1.116,11.146,1.117,11.153,0.002,0,0.002,0,0.039,0.389,49.217,16.501,9.809,75.516,0,0,0,1061,371,0.028,8.577e-4,NaN,445,NaN,0.015,2.386e5,22.238,0.001,0.595,0.021,0.337,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.065e-4,63,30,88.006,0,4.999,13.05,978.1,339.207,0.01,0.006
0.3,0.072,1.232,11.606,1.233,11.613,0.003,0,0.003,0,0.043,0.405,49.217,16.501,9.809,74.255,0,0,0,1061,370,0.028,8.576e-4,NaN,445,NaN,0.015,2.396e5,22.72,0.001,0.595,0.026,0.337,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.176e-4,63,30,88.006,0,4.99,13.05,978.1,339.207,0.01,0.006
0.31,0.085,1.353,12.085,1.354,12.092,0.003,0,0.003,0,0.047,0.422,49.217,16.501,9.809,72.995,0,0,0,1060,370,0.028,8.575e-4,NaN,445,NaN,0.015,2.417e5,23.221,0.002,0.594,0.032,0.336,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.291e-4,63,30,88.006,0,5.001,13.049,978.1,339.207,0.01,0.006
0.32,0.099,1.479,12.654,1.48,12.662,0.003,0,0.003,0,0.052,0.442,49.217,16.501,9.809,71.734,0,0,0,1060,370,0.028,8.574e-4,NaN,445,NaN,0.016,2.439e5,23.818,0.002,0.594,0.039,0.336,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.412e-4,63,30,88.006,0,5.012,13.049,978.1,339.207,0.01,0.006
0.33,0.115,1.612,13.334,1.613,13.342,0.004,0,0.004,0,0.056,0.466,49.217,16.501,9.809,70.417,0,0,0,1060,369,0.028,8.573e-4,NaN,445,NaN,0.016,2.464e5,24.531,0.003,0.593,0.048,0.335,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.539e-4,63,30,88.006,0,5.023,13.049,978.1,339.207,0.01,0.006
0.34,0.132,1.754,14.163,1.755,14.171,0.005,0,0.005,0,0.061,0.495,49.217,16.501,9.809,68.984,0,0,0,1059,369,0.028,8.573e-4,NaN,445,NaN,0.016,2.492e5,25.402,0.003,0.592,0.057,0.334,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.674e-4,63,30,88.006,0,5.035,13.049,978,339.207,0.01,0.007
0.35,0.15,1.904,15.019,1.905,15.028,0.005,0,0.005,0,0.066,0.524,49.217,16.501,9.809,67.552,0,0,0,1059,369,0.028,8.572e-4,NaN,445,NaN,0.016,2.522e5,26.3,0.004,0.591,0.069,0.333,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.817e-4,63,30,88.006,0,5.046,13.049,978,339.207,0.01,0.007
0.36,0.17,2.061,15.694,2.062,15.704,0.006,0,0.006,0,0.072,0.548,49.217,16.501,9.809,66.062,0,0,0,1059,368,0.028,8.571e-4,NaN,445,NaN,0.016,2.551e5,27.007,0.005,0.59,0.082,0.332,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.967e-4,63,30,88.006,0,5.045,13.049,978,339.207,0.01,0.007
0.37,0.191,2.224,16.337,2.226,16.347,0.007,0,0.007,0,0.078,0.571,49.217,16.501,9.809,64.515,0,0,0,1058,368,0.028,8.57e-4,NaN,445,NaN,0.016,2.582e5,27.679,0.006,0.589,0.096,0.331,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.123e-4,63,30,88.006,0,5.044,13.049,978,339.206,0.01,0.007
0.38,0.214,2.395,17.1,2.397,17.111,0.007,0,0.007,0,0.084,0.597,49.217,16.501,9.809,62.968,0,0,0,1058,367,0.028,8.569e-4,NaN,445,NaN,0.017,2.617e5,28.477,0.007,0.588,0.112,0.33,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.286e-4,63,30,88.006,0,5.044,13.049,978,339.206,0.01,0.007
0.39,0.239,2.577,18.125,2.578,18.136,0.008,0,0.008,0,0.09,0.633,49.217,16.501,9.809,61.364,0,0,0,1057,367,0.028,8.568e-4,NaN,445,NaN,0.017,2.656e5,29.551,0.008,0.587,0.13,0.329,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.459e-4,63,30,88.006,0,5.043,13.048,978,339.206,0.01,0.008
0.4,0.266,2.766,18.948,2.768,18.959,0.009,0,0.009,0,0.097,0.662,49.217,16.501,9.809,59.702,0,0,0,1057,366,0.028,8.567e-4,NaN,445,NaN,0.017,2.699e5,30.41,0.009,0.586,0.15,0.328,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.64e-4,63,30,88.006,0,5.043,13.048,978,339.206,0.01,0.008
0.41,0.295,2.964,19.784,2.966,19.796,0.01,0,0.01,0,0.103,0.691,49.217,16.501,9.809,58.041,0,0,0,1057,366,0.028,8.566e-4,NaN,445,NaN,0.017,2.744e5,31.283,0.011,0.585,0.172,0.327,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.828e-4,63,30,88.006,0,5.038,13.048,978,339.206,0.01,0.008
0.42,0.325,3.173,20.923,3.175,20.936,0.011,0,0.011,0,0.111,0.731,49.217,16.501,9.809,56.322,0,0,0,1056,366,0.028,8.565e-4,NaN,445,NaN,0.018,2.795e5,32.475,0.013,0.584,0.195,0.325,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.028e-4,63,30,88.006,0,5.033,13.048,978,339.206,0.01,0.008
0.43,0.358,3.394,22.091,3.396,22.105,0.013,0,0.013,0,0.119,0.771,49.217,16.501,9.809,54.603,0,0,0,1056,365,0.028,8.563e-4,NaN,445,NaN,0.018,2.851e5,33.696,0.016,0.583,0.22,0.324,0.139,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.239e-4,63,30,88.006,0,5.029,13.048,978,339.206,0.01,0.008
0.44,0.393,3.628,23.422,3.63,23.436,0.014,0,0.014,0,0.127,0.818,49.217,16.501,9.809,52.827,0,0,0,1055,365,0.028,8.562e-4,NaN,445,NaN,0.019,2.913e5,35.087,0.018,0.581,0.246,0.322,0.139,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.462e-4,63,30,88.006,0,5.024,13.047,978,339.206,0.01,0.008
0.45,0.431,3.877,24.905,3.879,24.921,0.015,0,0.015,0,0.135,0.87,49.217,16.501,9.809,51.051,0,0,0,1055,364,0.028,8.561e-4,NaN,445,NaN,0.019,2.982e5,36.638,0.021,0.58,0.275,0.321,0.139,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7e-4,63,30,88.006,0,5.019,13.047,978,339.206,0.01,0.009
0.46,0.471,4.14,26.274,4.142,26.29,0.016,0,0.016,0,0.145,0.917,49.217,16.501,9.809,49.389,0,0,0,1054,363,0.028,8.56e-4,NaN,445,NaN,0.02,3.067e5,38.065,0.025,0.578,0.301,0.319,0.139,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.951e-4,63,30,88.006,0,5.039,13.047,978,339.205,0.01,0.009
0.47,0.514,4.415,27.572,4.418,27.589,0.018,0,0.018,0,0.154,0.963,49.217,16.501,9.809,47.727,0,0,0,1053,363,0.028,8.558e-4,NaN,444,NaN,0.02,3.158e5,39.417,0.028,0.576,0.329,0.317,0.139,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.214e-4,63,30,88.006,0,5.058,13.047,978,339.205,0.01,0.009
0.48,0.559,4.704,28.896,4.707,28.913,0.02,0,0.02,0,0.164,1.009,49.217,16.501,9.809,46.123,0,0,0,1053,362,0.028,8.557e-4,NaN,444,NaN,0.021,3.257e5,40.794,0.033,0.574,0.356,0.314,0.139,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.489e-4,63,30,88.006,0,5.078,13.046,978,339.205,0.01,0.009
0.49,0.608,5.007,30.29,5.01,30.308,0.021,0,0.021,0,0.175,1.058,49.217,16.501,9.809,44.462,0,0,0,1052,362,0.028,8.556e-4,NaN,444,NaN,0.021,3.362e5,42.243,0.038,0.572,0.384,0.312,0.139,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.778e-4,63,30,88.006,0,5.097,13.046,978,339.205,0.01,0.009
0.5,0.659,5.325,31.778,5.328,31.797,0.023,0,0.023,0,0.186,1.11,49.217,16.501,9.809,42.857,0,0,0,1052,361,0.028,8.554e-4,NaN,444,NaN,0.022,3.474e5,43.788,0.043,0.57,0.411,0.31,0.14,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.081e-4,63,30,88.006,0,5.117,13.046,978,339.205,0.01,0.009
0.51,0.714,5.656,33.158,5.66,33.178,0.025,0,0.025,0,0.198,1.158,49.217,16.501,9.809,41.138,0,0,0,1051,360,0.028,8.553e-4,NaN,444,NaN,0.023,3.584e5,45.219,0.049,0.568,0.441,0.308,0.14,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.398e-4,63,30,88.006,0,5.102,13.045,978,339.204,0.01,0.01
0.52,0.773,6.003,34.654,6.006,34.675,0.027,0,0.027,0,0.21,1.21,49.217,16.501,9.809,39.419,0,0,0,1050,360,0.028,8.551e-4,NaN,444,NaN,0.024,3.701e5,46.769,0.056,0.566,0.47,0.306,0.14,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.728e-4,63,30,88.006,0,5.087,13.045,978,339.204,0.01,0.01
0.53,0.834,6.364,36.151,6.368,36.173,0.029,0,0.029,0,0.222,1.262,49.217,16.501,9.809,37.758,0,0,0,1050,359,0.028,8.549e-4,NaN,444,NaN,0.024,3.828e5,48.318,0.063,0.564,0.498,0.303,0.14,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.073e-4,63,30,88.006,0,5.073,13.045,978,339.204,0.01,0.01
0.54,0.9,6.742,37.783,6.746,37.806,0.031,0,0.031,0,0.235,1.319,49.217,16.501,9.809,36.154,0,0,0,1049,358,0.028,8.548e-4,NaN,444,NaN,0.025,3.963e5,50.005,0.071,0.561,0.524,0.301,0.14,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.434e-4,63,30,88.006,0,5.058,13.044,978,339.204,0.01,0.01
0.55,0.969,7.136,39.486,7.141,39.51,0.034,0,0.034,0,0.249,1.379,49.217,16.501,9.809,34.549,0,0,0,1048,358,0.028,8.546e-4,NaN,444,NaN,0.026,4.108e5,51.764,0.08,0.559,0.548,0.299,0.141,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.81e-4,63,30,88.006,0,5.043,13.044,978,339.203,0.01,0.01
0.56,1.043,7.545,40.926,7.55,40.951,0.036,0,0.036,0,0.263,1.429,49.217,16.501,9.809,33.174,0,0,0,1047,357,0.028,8.544e-4,NaN,444,NaN,0.027,4.267e5,53.245,0.09,0.557,0.569,0.296,0.141,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.201e-4,63,30,88.006,0,5.049,13.043,977.9,339.203,0.01,0.01
0.57,1.12,7.965,41.974,7.97,41.999,0.039,0,0.039,0,0.278,1.466,49.217,16.501,9.809,31.799,0,0,0,1047,356,0.028,8.542e-4,NaN,444,NaN,0.028,4.432e5,54.313,0.1,0.555,0.588,0.294,0.141,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.601e-4,63,30,88.006,0,5.056,13.043,977.9,339.203,0.01,0.01
0.58,1.202,8.392,42.669,8.397,42.695,0.042,0,0.042,0,0.293,1.49,49.217,16.501,9.809,30.539,0,0,0,1046,355,0.028,8.54e-4,NaN,444,NaN,0.029,4.602e5,55.01,0.111,0.553,0.604,0.291,0.141,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.008e-4,63,30,88.006,0,5.062,13.042,977.9,339.202,0.01,0.011
0.59,1.288,8.819,42.728,8.824,42.754,0.045,0,0.045,0,0.308,1.492,49.217,16.501,9.809,29.393,0,0,0,1045,354,0.028,8.539e-4,NaN,444,NaN,0.03,4.775e5,55.042,0.122,0.551,0.619,0.289,0.141,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.416e-4,63,30,88.006,0,5.068,13.042,977.9,339.202,0.01,0.011
0.6,1.378,9.246,42.784,9.252,42.81,0.048,0,0.048,0,0.323,1.494,49.217,16.501,9.809,28.247,0,0,0,1044,354,0.028,8.537e-4,NaN,443,NaN,0.032,4.95e5,55.07,0.134,0.549,0.631,0.287,0.142,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.824e-4,63,30,88.006,0,5.074,13.041,977.9,339.202,0.01,0.011
0.61,1.473,9.676,42.927,9.681,42.953,0.051,0,0.051,0,0.338,1.499,49.217,16.501,9.809,27.101,0,0,0,1043,353,0.028,8.535e-4,NaN,443,NaN,0.033,5.12e5,55.189,0.146,0.547,0.643,0.285,0.142,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.234e-4,63,30,88.006,0,5.049,13.04,977.9,339.201,0.01,0.011
0.62,1.572,10.105,42.974,10.111,43.001,0.055,0,0.055,0,0.353,1.501,49.217,16.501,9.809,26.012,0,0,0,1043,352,0.028,8.533e-4,NaN,443,NaN,0.034,5.292e5,55.209,0.159,0.545,0.654,0.283,0.142,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.644e-4,63,30,88.006,0,5.023,13.04,977.9,339.201,0.01,0.011
0.63,1.675,10.535,42.974,10.541,43,0.058,0,0.058,0,0.368,1.501,49.217,16.501,9.809,24.981,0,0,0,1042,351,0.028,8.531e-4,NaN,443,NaN,0.035,5.466e5,55.18,0.172,0.543,0.663,0.281,0.142,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,63,30,88.006,0,4.998,13.039,977.9,339.201,0.01,0.011
